"series","filename","title","object_url"
"EXPLORATION PLANS","3423-001.jpg","""A.C. Gregory - explorations in Northern Districts No. I, 1848.""","https://archive.sro.wa.gov.au/index.php/a-c-gregory-explorations-in-northern-districts-no-i-1848-001"
"EXPLORATION PLANS","3423-002.jpg","""A.C. Gregory - explorations in Northern Districts No. II, 1848.""","https://archive.sro.wa.gov.au/index.php/a-c-gregory-explorations-in-northern-districts-no-ii-1848-002"
"EXPLORATION PLANS","3423-004A.jpg","""C.C. Hunt - Port Hedland and surroundings, 1863.""","https://archive.sro.wa.gov.au/index.php/c-c-hunt-port-hedland-and-surroundings-1863-004a"
"EXPLORATION PLANS","3423-004.jpg","""J. Cowle - plan of route from Roebuck Bay to Tien Tsin Harbour by James Cowle, Assistant Surveyor 1866.""","https://archive.sro.wa.gov.au/index.php/j-cowle-plan-of-route-from-roebuck-bay-to-tien-tsin-harbour-by-james-cowle-assistant-surveyor-1866-004"
"EXPLORATION PLANS","3423-005A.jpg","""Gantheaume Bay by J.W. Gregory in the Schooner \""Evergreen\"", 1 February 1850.""","https://archive.sro.wa.gov.au/index.php/gantheaume-bay-by-j-w-gregory-in-the-schooner-evergreen-1-february-1850-005a"
"EXPLORATION PLANS","3423-005.jpg","""C.C. Hunt - chart showing the track of C.C. Hunt in the Cutter \""Mystery\"", 1863 (Cape Preston to Gantheaume Bay).""","https://archive.sro.wa.gov.au/index.php/c-c-hunt-chart-showing-the-track-of-c-c-hunt-in-the-cutter-mystery-1863-cape-preston-to-gantheaume-bay-005-1"
"EXPLORATION PLANS","3423-006A.jpg","""C.C. Hunt - explorations eastward of Nicol Bay, 1863.""","https://archive.sro.wa.gov.au/index.php/c-c-hunt-explorations-eastward-of-nicol-bay-1863-006a"
"EXPLORATION PLANS","3423-006.jpg","""C.C. Hunt - plan of Tien Tsin Harbour (Port Walcott), May 1863.""","https://archive.sro.wa.gov.au/index.php/c-c-hunt-plan-of-tien-tsin-harbour-port-walcott-may-1863-006"
"EXPLORATION PLANS","3423-007.jpg","""A.C. Gregory - explorations in Northern Districts No III, 1852 (Gantheaume Bay to Hamelin Harbour).""","https://archive.sro.wa.gov.au/index.php/a-c-gregory-explorations-in-northern-districts-no-iii-1852-gantheaume-bay-to-hamelin-harbour-007"
"EXPLORATION PLANS","3423-008A.jpg","""Tracing showing the tracks of Mr T. Hooley overland from the Murchison to the Fortescue in 1866.""","https://archive.sro.wa.gov.au/index.php/tracing-showing-the-tracks-of-mr-t-hooley-overland-from-the-murchison-to-the-fortescue-in-1866-008a"
"EXPLORATION PLANS","3423-008.jpg","""Plan showing the tracks of Mr T. Hooley with livestock overland from the Murchison to the Fortescue Rivers in 1866.""","https://archive.sro.wa.gov.au/index.php/plan-showing-the-tracks-of-mr-t-hooley-with-livestock-overland-from-the-murchison-to-the-fortescue-rivers-in-1866-008"
"EXPLORATION PLANS","3423-009.jpg","""North-West Australia - chart compiled from the latest information in the Survey Office Perth, J.S. Roe, 1864 (addition by R.J. Sholl, 1865).""","https://archive.sro.wa.gov.au/index.php/north-west-australia-chart-compiled-from-the-latest-information-in-the-survey-office-perth-j-s-roe-1864-addition-by-r-j-sholl-1865-009"
"EXPLORATION PLANS","3423-010.jpg","""Map of Camden Harbour, North-West Australia, March 1865 - William Phelps Assistant Surveyor, Geraldton, May 1865.""","https://archive.sro.wa.gov.au/index.php/map-of-camden-harbour-north-west-australia-march-1865-william-phelps-assistant-surveyor-geraldton-may-1865-010"
"EXPLORATION PLANS","3423-011.jpg","""North-West Australia, J. Martin, 1864. (4 charts on 1 sheet) Chart 1: Bedout Island. Chart 2: Treacherous Reef - Caffarelli Island. Chart 3: Brecknock Harbour. Chart 4: Roebuck Bay.""","https://archive.sro.wa.gov.au/index.php/north-west-australia-j-martin-1864-4-charts-on-1-sheet-chart-1-bedout-island-chart-2-treacherous-reef-caffarelli-island-chart-3-brecknock-harbour-chart-4-roebuck-bay-011"
"EXPLORATION PLANS","3423-012.jpg","""Chart showing explorations about Roebuck Bay (and surrounds) up to 1864. Compiled by the Survey Office, Perth.""","https://archive.sro.wa.gov.au/index.php/chart-showing-explorations-about-roebuck-bay-and-surrounds-up-to-1864-compiled-by-the-survey-office-perth-012"
"EXPLORATION PLANS","3423-013.jpg","""Chart of Shark Bay (Soundings by Freycinet, Ommanney, 1834; Helpman and Austin 1850-1851).""","https://archive.sro.wa.gov.au/index.php/chart-of-shark-bay-soundings-by-freycinet-ommanney-1834-helpman-and-austin-1850-1851-013"
"EXPLORATION PLANS","3423-014.jpg","""Lieut. B.F. Helpman - Part of the West Coast of Western Australia from Champion Bay to Gantheaume Bay as examined by Lieut. B.F. Helpman RN, December 1844.""","https://archive.sro.wa.gov.au/index.php/lieut-b-f-helpman-part-of-the-west-coast-of-western-australia-from-champion-bay-to-gantheaume-bay-as-examined-by-lieut-b-f-helpman-rn-december-1844-014"
"EXPLORATION PLANS","3423-015.jpg","""J.S. Roe - routes to the northward of Champion Bay in June 1847.""","https://archive.sro.wa.gov.au/index.php/j-s-roe-routes-to-the-northward-of-champion-bay-in-june-1847-015"
"EXPLORATION PLANS","3423-016.jpg","""A.C. Gregory - eye sketch of the country between Champion Bay and Moore River showing the route of Dr Von Sumner in search of coal, September 1847.""","https://archive.sro.wa.gov.au/index.php/a-c-gregory-eye-sketch-of-the-country-between-champion-bay-and-moore-river-showing-the-route-of-dr-von-sumner-in-search-of-coal-september-1847-016"
"EXPLORATION PLANS","3423-018.jpg","""A.C. Gregory - exploration to the northward and eastward of Toodyay, August and September 1846 (Eastern sheet).""","https://archive.sro.wa.gov.au/index.php/a-c-gregory-exploration-to-the-northward-and-eastward-of-toodyay-august-and-september-1846-eastern-sheet-018"
"EXPLORATION PLANS","3423-019.jpg","""Exploration to the north and east of Toodyay, August, September 1846 (Western sheet).""","https://archive.sro.wa.gov.au/index.php/exploration-to-the-north-and-east-of-toodyay-august-september-1846-western-sheet-019"
"EXPLORATION PLANS","3423-020.jpg","""J. Forrest - exploration routes in search of Dr Leichardt and party, 1869.""","https://archive.sro.wa.gov.au/index.php/j-forrest-exploration-routes-in-search-of-dr-leichardt-and-party-1869-020"
